"comfort","price","rooms_count","useful_surface","built_surface","construction_year","level","max_level","kitchens_count","bathrooms_count","parking_lots_count","balconies_count"
4,110000,2,47,52,2017,9,9,1,1,0,0
1,99910,2,53,63,2020,1,5,1,1,0,1
1,109000,3,70,80,2008,4,8,1,1,0,0
4,173457,3,77,145,2021,0,4,1,2,0,1
1,117420,2,68,79,2020,4,5,1,1,0,1
4,119480,1,96,110,2021,5,5,1,1,0,1
1,100940,2,55,67,2020,4,5,1,1,0,1
1,85999,2,66,78,2020,3,12,1,1,0,1
1,139000,4,100,110,1993,6,8,1,1,0,2
4,121540,2,67,77,2021,1,5,1,1,0,1
1,78000,1,38,38,1992,3,8,1,1,0,1
1,126500,3,73,92,1991,5,8,1,2,1,1
1,121000,2,52,60,2019,0,10,1,1,0,0
1,143170,3,85,95,2021,2,6,1,2,0,1
4,169500,3,72,87,2015,1,3,1,2,1,0
4,93000,2,62,75,2021,2,7,1,1,1,1
1,114330,2,73,73,2020,4,5,1,1,0,1
1,143170,3,75,88,2020,2,5,1,2,0,2
4,43000,1,33,43,2020,1,4,1,1,1,1
1,100940,2,55,65,2021,4,6,1,1,0,1
1,185000,4,100,110,1992,6,8,1,2,0,3
4,163770,3,110,142,2021,5,5,1,2,0,1
4,58200,2,53,61,2020,2,5,1,1,0,2
4,65900,2,63,85,2019,3,11,1,1,0,1
1,75900,2,49,65,2019,4,11,1,1,0,1
1,52650,2,62,72,2020,4,4,1,2,1,1
1,99910,2,53,70,2021,1,6,1,1,1,1
4,70000,3,80,93,2020,0,3,1,2,0,1
4,62000,2,88,103,2020,0,3,1,1,0,0
1,96900,2,59,76,2020,2,11,1,1,0,1
1,152000,3,71,101,2018,1,10,1,2,0,0
1,121540,2,75,87,2020,4,5,1,1,0,1
4,118450,2,63,73,2021,2,5,1,1,0,1
4,167380,4,162,192,2020,2,5,1,2,0,4
1,125900,3,70,95,2019,3,10,1,2,0,1
1,153558,3,82,100,2021,1,4,1,2,0,1
1,70000,2,50,60,2008,9,11,1,1,0,1
1,112270,2,68,76,2020,2,5,1,1,0,1
4,89610,1,62,72,2021,3,5,1,1,0,1
4,81000,3,75,88,2013,1,5,1,2,0,2
4,72100,3,85,85,2020,3,4,1,2,0,1
1,63000,1,41,45,1990,6,8,1,1,0,1
4,158500,4,119,143,2019,3,3,1,2,0,2
1,88500,2,64,76,2021,3,11,1,1,0,1
4,55000,2,43,52,2014,2,8,1,1,0,1
1,88600,2,62,74,2021,3,11,1,1,0,1
1,46000,2,40,55,2020,2,5,1,1,0,1
1,79500,3,72,85,2020,2,6,1,1,0,1
1,84900,3,50,55,1969,3,3,1,1,0,0
1,163770,3,110,120,2021,5,6,1,2,0,1
1,58643,2,56,66,2020,0,4,1,2,0,1
1,85000,2,55,70,2020,2,6,1,1,0,1
1,79900,2,46,64,2012,2,3,1,1,0,1
1,54000,2,55,65,2020,2,3,1,1,1,1
1,190000,3,77,88,1991,2,7,1,2,0,1
1,66000,2,56,57,1976,8,10,1,1,0,1
1,88000,2,50,54,1976,8,9,1,1,0,1
1,138900,3,71,82,1985,4,8,1,2,0,2
1,110000,3,82,82,2020,2,12,1,2,1,1
